KE = 14.9404, PE = -2.97361, total = 11.9668
KE = 14.9618, PE = -2.9923, total = 11.9695
KE = 14.9834, PE = -3.01123, total = 11.9721
KE = 15.0053, PE = -3.03042, total = 11.9749
KE = 15.0275, PE = -3.04986, total = 11.9776
KE = 15.05, PE = -3.06955, total = 11.9804
KE = 15.0727, PE = -3.0895, total = 11.9832
KE = 15.0958, PE = -3.10972, total = 11.9861
KE = 15.1192, PE = -3.13021, total = 11.9889
KE = 15.1428, PE = -3.15097, total = 11.9918
KE = 15.1668, PE = -3.172, total = 11.9948
KE = 15.1911, PE = -3.19332, total = 11.9977
KE = 15.2157, PE = -3.21492, total = 12.0007
KE = 15.2406, PE = -3.2368, total = 12.0038
KE = 15.2658, PE = -3.25897, total = 12.0068
KE = 15.2914, PE = -3.28144, total = 12.0099
KE = 15.3172, PE = -3.30421, total = 12.013
KE = 15.3435, PE = -3.32728, total = 12.0162
KE = 15.37, PE = -3.35066, total = 12.0193
KE = 15.3969, PE = -3.37435, total = 12.0226
KE = 15.4241, PE = -3.39835, total = 12.0258
KE = 15.4517, PE = -3.42267, total = 12.029
KE = 15.4796, PE = -3.44731, total = 12.0323
KE = 15.5079, PE = -3.47228, total = 12.0357
KE = 15.5366, PE = -3.49757, total = 12.039
KE = 15.5656, PE = -3.5232, total = 12.0424
KE = 15.595, PE = -3.54916, total = 12.0458
KE = 15.6247, PE = -3.57546, total = 12.0492
KE = 15.6548, PE = -3.6021, total = 12.0527
KE = 15.6853, PE = -3.62908, total = 12.0562
KE = 15.7161, PE = -3.65642, total = 12.0597
KE = 15.7474, PE = -3.6841, total = 12.0633
KE = 15.779, PE = -3.71214, total = 12.0668
KE = 15.811, PE = -3.74053, total = 12.0704
KE = 15.8433, PE = -3.76928, total = 12.0741
KE = 15.8761, PE = -3.79838, total = 12.0777
KE = 15.9093, PE = -3.82785, total = 12.0814
KE = 15.9428, PE = -3.85768, total = 12.0851
KE = 15.9767, PE = -3.88787, total = 12.0889
KE = 16.011, PE = -3.91842, total = 12.0926
KE = 16.0458, PE = -3.94934, total = 12.0964
KE = 16.0809, PE = -3.98061, total = 12.1002
KE = 16.1163, PE = -4.01225, total = 12.1041
KE = 16.1522, PE = -4.04424, total = 12.108
KE = 16.1885, PE = -4.0766, total = 12.1119
KE = 16.2251, PE = -4.1093, total = 12.1158
KE = 16.2621, PE = -4.14236, total = 12.1197
KE = 16.2995, PE = -4.17576, total = 12.1237
KE = 16.3372, PE = -4.2095, total = 12.1277
KE = 16.3753, PE = -4.24358, total = 12.1318
KE = 16.4138, PE = -4.27798, total = 12.1358
KE = 16.4526, PE = -4.3127, total = 12.1399
KE = 16.4918, PE = -4.34774, total = 12.144
KE = 16.5312, PE = -4.38307, total = 12.1482
KE = 16.571, PE = -4.41869, total = 12.1523
KE = 16.6111, PE = -4.45458, total = 12.1565
KE = 16.6515, PE = -4.49073, total = 12.1607
KE = 16.6921, PE = -4.52712, total = 12.165
KE = 16.733, PE = -4.56373, total = 12.1693
KE = 16.7741, PE = -4.60055, total = 12.1736
KE = 16.8155, PE = -4.63754, total = 12.1779
KE = 16.857, PE = -4.6747, total = 12.1823
KE = 16.8987, PE = -4.71197, total = 12.1867
KE = 16.9405, PE = -4.74935, total = 12.1911
KE = 16.9824, PE = -4.78679, total = 12.1956
KE = 17.0243, PE = -4.82426, total = 12.2001
KE = 17.0663, PE = -4.86173, total = 12.2046
KE = 17.1083, PE = -4.89914, total = 12.2092
KE = 17.1502, PE = -4.93645, total = 12.2137
KE = 17.192, PE = -4.97362, total = 12.2184
KE = 17.2336, PE = -5.01059, total = 12.2231
KE = 17.2751, PE = -5.0473, total = 12.2278
KE = 17.3162, PE = -5.08369, total = 12.2325
KE = 17.357, PE = -5.11969, total = 12.2373
KE = 17.3974, PE = -5.15524, total = 12.2422
KE = 17.4373, PE = -5.19025, total = 12.247
KE = 17.4766, PE = -5.22464, total = 12.252
KE = 17.5153, PE = -5.25832, total = 12.257
KE = 17.5532, PE = -5.2912, total = 12.262
KE = 17.5903, PE = -5.32318, total = 12.2671
KE = 17.6264, PE = -5.35414, total = 12.2722
KE = 17.6614, PE = -5.38398, total = 12.2775
KE = 17.6953, PE = -5.41258, total = 12.2827
KE = 17.7279, PE = -5.4398, total = 12.2881
KE = 17.759, PE = -5.46552, total = 12.2935
KE = 17.7885, PE = -5.48958, total = 12.2989
KE = 17.8163, PE = -5.51185, total = 12.3045
KE = 17.8423, PE = -5.53215, total = 12.3101
KE = 17.8662, PE = -5.55034, total = 12.3158
KE = 17.8878, PE = -5.56624, total = 12.3216
KE = 17.9071, PE = -5.57967, total = 12.3275
KE = 17.9239, PE = -5.59045, total = 12.3334
KE = 17.9378, PE = -5.59841, total = 12.3394
KE = 17.9489, PE = -5.60333, total = 12.3456
KE = 17.9568, PE = -5.60504, total = 12.3518
KE = 17.9614, PE = -5.60333, total = 12.358
KE = 17.9624, PE = -5.59801, total = 12.3644
KE = 17.9598, PE = -5.58888, total = 12.3709
KE = 17.9532, PE = -5.57576, total = 12.3774
KE = 17.9425, PE = -5.55846, total = 12.384
KE = 17.9275, PE = -5.53679, total = 12.3907
KE = 17.908, PE = -5.5106, total = 12.3974
KE = 17.8839, PE = -5.47974, total = 12.4042
KE = 17.8551, PE = -5.44406, total = 12.411
KE = 17.8213, PE = -5.40347, total = 12.4179
KE = 17.7826, PE = -5.35787, total = 12.4247
KE = 17.7388, PE = -5.30721, total = 12.4316
KE = 17.6899, PE = -5.25147, total = 12.4384
KE = 17.6359, PE = -5.19068, total = 12.4452
KE = 17.5768, PE = -5.1249, total = 12.4519
KE = 17.5128, PE = -5.05425, total = 12.4586
KE = 17.4439, PE = -4.9789, total = 12.465
KE = 17.3704, PE = -4.89908, total = 12.4714
KE = 17.2926, PE = -4.81508, total = 12.4775
KE = 17.2106, PE = -4.72725, total = 12.4834
KE = 17.125, PE = -4.63603, total = 12.489
KE = 17.0362, PE = -4.54189, total = 12.4943
KE = 16.9447, PE = -4.44541, total = 12.4993
